x	y	label	key	showSelected1	PANEL	group	anchor
0.688528754864819	-7.36308800081682	_Diff=-4.3631_	1	0	1	-1	end
0.398266981705092	-16.7666201377043	_Diff=-13.7666_	1	2	1	-1	start
0.148332321085036	-5.9410522063061	_Diff=-2.9411_	1	5	1	-1	start
0.267083358601667	-5.59243010374958	_Diff=-2.5924_	1	8	1	-1	start
0.840770405950025	-5.33175016969266	_Diff=-2.3318_	1	11	1	-1	end
0.11008392192889	-5.01753639739333	_Diff=-2.0175_	1	12	1	-1	start
0.0900922525906935	-4.89369768519086	_Diff=-1.8937_	1	13	1	-1	start
0.599224032252096	-4.51056857654334	_Diff=-1.5106_	1	15	1	-1	end
0.462654642178677	-3.99444569511591	_Diff=-0.9944_	1	17	1	-1	start
0.146755239227787	-3.51214917236055	_Diff=-0.5121_	1	20	1	-1	start
0.030959413619712	-3.37705321309495	_Diff=-0.3771_	1	21	1	-1	start
0.794574634172022	-3.37705321309495	_Diff=-0.3771_	1	22	1	-1	end
0.974826205405407	-3.24157256781171	_Diff=-0.2416_	1	23	1	-1	end
0.398789217462763	-17.866871716291	_Diff=-14.8669_	1	1	2	-1	start
0.497950058314018	-23.2113987438749	_Diff=-20.2114_	1	3	2	-1	start
0.562734881066717	-6.96346827727043	_Diff=-3.9635_	1	4	2	-1	end
0.796848405501805	-6.19063070040561	_Diff=-3.1906_	1	6	2	-1	end
0.879315383266658	-6.45218486942137	_Diff=-3.4522_	1	7	2	-1	end
0.0579857123084366	-5.53737352614442	_Diff=-2.5374_	1	9	2	-1	start
0.346780378138647	-5.49477323764678	_Diff=-2.4948_	1	10	2	-1	start
0.375784554285929	-4.85373556987285	_Diff=-1.8537_	1	14	2	-1	start
0.590880842180923	-4.27576224149313	_Diff=-1.2758_	1	16	2	-1	end
0.203541245427914	-3.96415945293903	_Diff=-0.9642_	1	18	2	-1	start
0.218288643518463	-3.92414196233329	_Diff=-0.9241_	1	19	2	-1	start
